LSOA11CD,LSOA11NM,Youth(<18),Elderly(>64),No_car_household,Minority_population,Unemployed/Below_poverty
E01001901,Hammersmith and Fulham 019B,328,115,270,267,215
E01001902,Hammersmith and Fulham 019C,192,152,431,345,310
E01001903,Hammersmith and Fulham 019D,313,148,358,557,446
E01001904,Hammersmith and Fulham 022A,248,120,268,248,193
E01001905,Hammersmith and Fulham 022B,267,174,315,265,186
E01001906,Hammersmith and Fulham 022C,168,102,279,255,145
E01001907,Hammersmith and Fulham 022D,267,108,210,196,140
E01001908,Hammersmith and Fulham 015B,138,64,613,489,371
E01001909,Hammersmith and Fulham 015C,272,158,472,512,363
E01001910,Hammersmith and Fulham 014B,130,111,584,456,253
E01001911,Hammersmith and Fulham 015D,437,151,503,875,487
E01001912,Hammersmith and Fulham 015E,379,124,378,842,584
E01001913,Hammersmith and Fulham 014C,108,86,397,238,153
E01001914,Hammersmith and Fulham 014D,148,74,638,565,394
E01001915,Hammersmith and Fulham 024A,351,189,215,188,124
E01001916,Hammersmith and Fulham 024B,194,329,214,131,109
E01001917,Hammersmith and Fulham 018C,226,239,322,235,214
E01001918,Hammersmith and Fulham 018D,300,139,218,291,205
E01001919,Hammersmith and Fulham 018E,414,205,197,279,201
E01001920,Hammersmith and Fulham 020A,192,242,567,415,282
E01001921,Hammersmith and Fulham 020B,271,134,322,257,279
E01001922,Hammersmith and Fulham 020C,334,169,206,264,188
E01001923,Hammersmith and Fulham 020D,250,156,272,339,208
E01001924,Hammersmith and Fulham 020E,368,118,222,214,154
E01001925,Hammersmith and Fulham 025A,422,153,189,259,153
E01001926,Hammersmith and Fulham 024C,270,132,190,183,134
E01001927,Hammersmith and Fulham 008C,340,193,160,243,183
E01001928,Hammersmith and Fulham 011A,401,165,359,497,292
E01001929,Hammersmith and Fulham 009D,240,122,225,181,120
E01001930,Hammersmith and Fulham 008D,301,339,456,536,366
E01001931,Hammersmith and Fulham 011B,327,88,414,603,331
E01001932,Hammersmith and Fulham 011C,246,125,424,469,303
E01001933,Hammersmith and Fulham 011D,218,195,277,364,239
E01001934,Hammersmith and Fulham 025B,354,164,347,527,357
E01001935,Hammersmith and Fulham 023A,314,178,403,444,290
E01001937,Hammersmith and Fulham 025C,319,164,267,308,238
E01001938,Hammersmith and Fulham 025D,399,123,307,539,277
E01001939,Hammersmith and Fulham 023C,396,249,490,770,691
E01001940,Hammersmith and Fulham 005B,272,134,500,692,381
E01001941,Hammersmith and Fulham 005C,184,61,480,580,339
E01001942,Hammersmith and Fulham 005D,262,140,512,687,349
E01001943,Hammersmith and Fulham 004A,272,132,607,766,472
E01001944,Hammersmith and Fulham 004B,383,179,639,1039,522
E01001945,Hammersmith and Fulham 004C,314,161,419,550,275
E01001946,Hammersmith and Fulham 004D,288,121,419,581,303
E01001947,Hammersmith and Fulham 021A,384,107,399,714,435
E01001948,Hammersmith and Fulham 021B,376,128,453,415,268
E01001949,Hammersmith and Fulham 021C,283,93,278,168,185
E01001950,Hammersmith and Fulham 021D,342,99,237,207,167
E01001951,Hammersmith and Fulham 021E,256,130,346,330,229
E01001952,Hammersmith and Fulham 024D,156,117,480,328,215
E01001953,Hammersmith and Fulham 021F,209,134,405,393,239
E01001954,Hammersmith and Fulham 003A,321,166,346,589,315
E01001955,Hammersmith and Fulham 002A,490,192,407,941,587
E01001956,Hammersmith and Fulham 003B,347,197,297,539,364
E01001957,Hammersmith and Fulham 002B,446,125,412,1060,539
E01001958,Hammersmith and Fulham 002C,507,96,413,1154,551
E01001959,Hammersmith and Fulham 003C,457,199,269,872,534
E01001960,Hammersmith and Fulham 003D,307,116,401,621,316
E01001961,Hammersmith and Fulham 002D,512,115,377,1041,550
E01002694,Islington 019A,396,137,479,684,473
E01002695,Islington 021A,255,195,592,535,333
E01002696,Islington 020A,243,166,565,313,304
E01002697,Islington 019B,377,205,526,1098,978
E01002698,Islington 017A,318,129,649,480,344
E01002699,Islington 017B,190,141,413,242,219
E01002700,Islington 017C,239,173,240,180,198
E01002701,Islington 023A,251,193,549,538,480
E01002702,Islington 023B,371,122,663,810,725
E01002703,Islington 023C,316,127,561,626,511
E01002704,Islington 023D,351,228,774,763,617
E01002706,Islington 023E,401,182,661,624,468
E01002707,Islington 022B,195,162,706,507,441
E01002708,Islington 015A,311,163,616,675,597
E01002709,Islington 019C,291,209,521,655,535
E01002710,Islington 019D,385,161,397,699,509
E01002711,Islington 021B,232,84,711,711,506
E01002712,Islington 015B,207,95,338,638,657
E01002713,Islington 015C,287,295,602,482,419
E01002714,Islington 017D,270,103,425,298,250
E01002715,Islington 019E,368,141,523,676,509
E01002716,Islington 014A,498,232,744,855,611
E01002717,Islington 016A,243,146,306,323,208
E01002718,Islington 014B,198,143,460,291,248
E01002719,Islington 016B,229,193,382,267,155
E01002720,Islington 016C,649,170,695,982,651
E01002721,Islington 014C,272,137,520,353,336
E01002722,Islington 018A,230,144,445,342,323
E01002723,Islington 022C,277,154,590,494,421
E01002724,Islington 022D,147,100,654,486,501
E01002725,Islington 022E,230,144,415,507,482
E01002726,Islington 022F,292,116,588,494,394
E01002727,Islington 021C,216,142,589,373,274
E01002728,Islington 021D,170,102,366,691,924
E01002729,Islington 021E,235,181,394,331,360
E01002730,Islington 007A,223,157,571,582,459
E01002731,Islington 007B,338,145,816,844,605
E01002732,Islington 005A,370,166,580,931,678
E01002733,Islington 007C,190,102,332,380,275
E01002734,Islington 005B,512,91,540,960,612
E01002735,Islington 003A,269,113,568,672,327
E01002736,Islington 005C,418,287,397,817,486
E01002737,Islington 005D,589,156,524,986,651
E01002738,Islington 009A,322,202,484,425,320
E01002739,Islington 013A,319,187,439,341,259
E01002740,Islington 013B,341,129,403,310,200
E01002741,Islington 009B,362,151,425,537,446
E01002742,Islington 006A,262,145,321,285,180
E01002743,Islington 009C,347,194,443,540,338
E01002744,Islington 009D,216,119,432,311,223
E01002745,Islington 013C,251,129,370,297,242
E01002747,Islington 006B,258,142,380,403,303
E01002748,Islington 006C,328,95,445,677,411
E01002749,Islington 006D,335,90,304,487,269
E01002751,Islington 005E,373,130,621,911,540
E01002752,Islington 009E,344,124,381,537,329
E01002753,Islington 002A,262,124,396,537,385
