LSOA11CD,LSOA11NM,Youth(<18),Elderly(>64),No_car_household,Minority_population,Unemployed/Below_poverty
E01004539,Wandsworth 003A,608,137,508,1157,513
E01004540,Wandsworth 003B,383,181,579,630,327
E01004541,Wandsworth 007D,325,236,531,883,409
E01004542,Wandsworth 021D,361,126,178,240,122
E01004543,Wandsworth 027A,398,101,229,235,120
E01004544,Wandsworth 021E,339,117,214,296,148
E01004545,Wandsworth 027B,109,116,527,260,116
E01004546,Wandsworth 027C,238,100,254,290,145
E01004547,Wandsworth 029C,255,182,203,454,247
E01004548,Wandsworth 029D,221,190,642,538,293
E01004549,Wandsworth 027D,297,187,281,474,207
E01004550,Wandsworth 017D,333,275,237,351,175
E01004551,Wandsworth 012E,204,93,572,527,216
E01004552,Wandsworth 008C,163,69,493,282,136
E01004553,Wandsworth 015A,226,92,359,245,129
E01004554,Wandsworth 009A,333,105,219,207,76
E01004555,Wandsworth 017E,465,128,116,192,109
E01004556,Wandsworth 009B,456,94,142,167,82
E01004557,Wandsworth 015B,328,129,250,211,124
E01004558,Wandsworth 015C,418,100,208,229,126
E01004559,Wandsworth 015D,404,86,133,165,107
E01004560,Wandsworth 001A,263,155,437,421,245
E01004562,Wandsworth 002B,317,227,471,894,408
E01004563,Wandsworth 002C,403,110,601,962,457
E01004564,Wandsworth 002D,191,143,454,407,247
E01004565,Wandsworth 005A,212,108,419,343,206
E01004566,Wandsworth 001B,202,194,380,214,134
E01004567,Wandsworth 002E,599,120,631,1335,553
E01004568,Wandsworth 013A,307,78,300,578,932
E01004569,Wandsworth 023A,443,213,351,776,1051
E01004570,Wandsworth 023B,407,196,459,787,640
E01004571,Wandsworth 023C,326,196,355,583,543
E01004572,Wandsworth 016A,328,198,286,471,327
E01004573,Wandsworth 023D,277,195,242,504,347
E01004574,Wandsworth 013B,559,110,469,862,597
E01004575,Wandsworth 013C,261,360,393,562,544
E01004576,Wandsworth 013D,386,153,270,462,359
E01004577,Wandsworth 003C,289,247,464,369,235
E01004579,Wandsworth 004B,294,167,320,346,207
E01004580,Wandsworth 004C,308,192,511,584,336
E01004581,Wandsworth 004D,214,203,441,419,305
E01004582,Wandsworth 001C,349,215,403,510,326
E01004583,Wandsworth 001D,197,392,390,401,230
E01004584,Wandsworth 003D,482,129,448,957,501
E01004585,Wandsworth 008D,198,144,407,310,186
E01004586,Wandsworth 009C,180,92,404,271,140
E01004587,Wandsworth 009D,274,109,270,269,125
E01004588,Wandsworth 008E,264,91,408,299,155
E01004589,Wandsworth 009E,258,99,259,184,114
E01004590,Wandsworth 005B,310,217,406,463,296
E01004591,Wandsworth 005C,201,124,447,513,253
E01004592,Wandsworth 005D,260,212,392,356,214
E01004593,Wandsworth 025A,277,144,360,421,172
E01004594,Wandsworth 020D,410,126,120,311,198
E01004595,Wandsworth 025B,283,143,295,326,161
E01004596,Wandsworth 020E,362,149,195,265,119
E01004597,Wandsworth 025C,396,167,295,384,158
E01004598,Wandsworth 025D,218,80,312,270,129
E01004599,Wandsworth 025E,391,137,125,180,99
E01004600,Wandsworth 018C,507,95,565,1137,467
E01004601,Wandsworth 018D,410,203,481,676,360
E01004602,Wandsworth 010C,243,131,291,226,114
E01004604,Wandsworth 006A,462,155,97,105,125
E01004605,Wandsworth 006B,319,219,263,265,178
E01004606,Wandsworth 006C,210,120,248,138,97
E01004607,Wandsworth 006D,358,177,231,163,132
E01004608,Wandsworth 006E,218,170,397,266,153
E01004609,Wandsworth 010E,244,160,482,332,163
E01004610,Wandsworth 033C,394,203,219,1176,520
E01004611,Wandsworth 032B,318,182,226,763,307
E01004612,Wandsworth 032C,418,157,260,1151,488
E01004613,Wandsworth 033D,329,201,423,901,465
E01004614,Wandsworth 034A,340,156,454,1001,583
E01004615,Wandsworth 034B,475,169,458,914,491
E01004616,Wandsworth 034C,357,122,494,1104,621
E01004617,Wandsworth 034D,300,110,384,913,547
E01004618,Wandsworth 032D,304,166,176,647,269
E01004619,Wandsworth 015E,392,84,134,149,128
E01004620,Wandsworth 019C,345,133,246,318,167
E01004621,Wandsworth 019D,348,113,209,288,203
E01004622,Wandsworth 024D,178,139,220,733,683
E01004623,Wandsworth 019E,379,137,229,270,158
E01004624,Wandsworth 024E,307,141,204,275,219
E01004625,Wandsworth 027E,386,168,39,94,113
E01004626,Wandsworth 027F,368,170,210,375,198
E01004627,Wandsworth 019F,368,143,188,231,154
E01004628,Wandsworth 022A,392,167,335,742,443
E01004629,Wandsworth 020F,366,220,169,406,228
E01004630,Wandsworth 022B,461,160,366,780,427
E01004631,Wandsworth 022C,314,177,282,495,282
E01004632,Wandsworth 028A,344,155,189,328,169
E01004633,Wandsworth 022D,417,110,353,764,394
E01004634,Wandsworth 028B,224,151,259,387,209
E01004635,Wandsworth 028C,320,138,239,460,292
E01004636,Wandsworth 028D,297,107,200,428,215
E01004637,Wandsworth 028E,277,171,223,417,271
E01004638,Wandsworth 011B,353,186,94,163,164
E01004639,Wandsworth 011C,273,184,322,299,217
E01004640,Wandsworth 011D,308,175,257,246,179
E01004641,Wandsworth 011E,332,304,306,391,267
E01004642,Wandsworth 016B,360,233,328,408,438
E01004643,Wandsworth 016C,418,239,446,723,400
E01004644,Wandsworth 016D,377,303,327,386,333
E01004645,Wandsworth 016E,469,330,463,756,466
E01004646,Westminster 002A,471,204,205,537,320
E01004647,Westminster 001A,273,287,339,500,293
E01004648,Westminster 002B,455,297,535,760,428
E01004649,Westminster 001B,320,281,303,761,335
E01004650,Westminster 002C,358,245,421,584,336
E01004651,Westminster 003A,280,266,721,841,395
E01004652,Westminster 017A,200,151,713,816,496
E01004653,Westminster 014A,296,210,494,377,223
E01004654,Westminster 014B,268,209,737,591,326
E01004656,Westminster 014D,258,228,816,771,408
E01004657,Westminster 012A,149,171,519,384,242
E01004658,Westminster 012B,190,115,524,750,673
E01004659,Westminster 008A,161,184,672,680,449
E01004660,Westminster 008B,247,219,580,735,447
E01004661,Westminster 012C,230,176,659,801,604
E01004662,Westminster 012D,187,137,733,603,410
E01004663,Westminster 012E,234,268,509,525,354
E01004665,Westminster 024A,411,199,429,717,496
E01004666,Westminster 023B,178,196,328,398,210
E01004667,Westminster 023C,193,201,483,397,258
E01004668,Westminster 023D,310,215,369,439,254
E01004669,Westminster 024B,371,247,554,705,433
E01004670,Westminster 009A,869,349,653,2070,1334
E01004674,Westminster 005A,501,268,545,1197,743
E01004675,Westminster 005B,471,229,739,1162,730
E01004676,Westminster 006A,335,91,499,740,382
E01004677,Westminster 005C,266,146,545,735,427
E01004678,Westminster 005D,431,144,546,944,551
E01004679,Westminster 005E,507,150,620,1126,629
E01004680,Westminster 015A,229,231,367,454,269
E01004681,Westminster 016A,216,148,791,794,442
E01004682,Westminster 016B,116,109,519,576,483
E01004683,Westminster 015B,239,233,361,535,322
E01004684,Westminster 015C,286,178,454,988,753
E01004686,Westminster 015E,259,125,603,935,673
E01004687,Westminster 019A,273,252,250,277,253
E01004688,Westminster 019B,104,163,236,835,1225
E01004689,Westminster 019C,162,121,226,304,263
E01004690,Westminster 019D,261,183,198,260,246
E01004691,Westminster 019E,181,248,393,464,374
E01004692,Westminster 019F,199,254,289,683,532
E01004693,Westminster 017B,193,173,444,366,206
E01004694,Westminster 016C,214,113,671,594,369
E01004695,Westminster 017C,121,102,511,487,344
E01004696,Westminster 017D,319,226,537,760,486
E01004697,Westminster 016D,165,144,541,466,306
E01004698,Westminster 017E,175,93,551,549,339
E01004699,Westminster 017F,227,136,809,705,500
E01004700,Westminster 016E,234,115,647,530,320
E01004701,Westminster 007A,251,184,458,516,241
E01004702,Westminster 009E,707,285,687,1580,1061
E01004703,Westminster 007B,469,260,456,713,412
E01004705,Westminster 007D,263,119,325,352,210
E01004706,Westminster 006B,222,123,353,400,167
E01004707,Westminster 006C,385,146,360,525,293
E01004708,Westminster 006D,213,132,496,562,341
E01004709,Westminster 007E,316,156,417,691,400
E01004710,Westminster 002D,445,202,395,886,528
E01004711,Westminster 002E,437,180,494,776,478
E01004712,Westminster 008C,150,195,567,516,417
E01004713,Westminster 011A,185,222,521,366,214
E01004714,Westminster 011B,244,194,781,660,437
E01004715,Westminster 013A,146,207,606,681,690
E01004716,Westminster 011C,150,231,397,365,273
E01004717,Westminster 011D,119,169,620,298,236
E01004718,Westminster 004A,417,191,565,1027,576
E01004719,Westminster 004B,493,172,432,767,465
E01004720,Westminster 004C,510,262,429,870,558
E01004721,Westminster 004D,451,261,593,1033,700
E01004722,Westminster 004E,776,168,538,1789,1062
E01004723,Westminster 005F,434,143,657,1126,663
E01004724,Westminster 001C,295,229,516,642,375
E01004725,Westminster 003B,341,304,475,905,562
E01004726,Westminster 003C,323,253,416,766,389
E01004727,Westminster 008D,248,224,512,947,596
E01004728,Westminster 003D,234,300,509,627,386
E01004729,Westminster 003E,297,334,579,726,390
E01004730,Westminster 001D,290,324,349,660,353
E01004731,Westminster 020A,173,144,572,450,276
E01004732,Westminster 020B,225,212,531,516,452
E01004733,Westminster 020C,418,195,482,523,449
E01004734,Westminster 018A,138,239,887,734,535
E01004735,Westminster 018B,120,229,758,484,517
E01004736,Westminster 018C,95,173,414,414,360
E01004737,Westminster 024C,206,256,360,318,207
E01004738,Westminster 024D,147,176,407,250,173
E01004739,Westminster 024E,58,254,657,197,142
E01004740,Westminster 021A,220,301,588,505,317
E01004741,Westminster 024F,186,162,488,327,227
E01004742,Westminster 022A,126,106,493,198,177
E01004743,Westminster 021B,282,102,467,618,320
E01004744,Westminster 020D,209,186,487,368,201
E01004745,Westminster 021C,291,276,689,508,345
E01004746,Westminster 021D,267,227,556,523,289
E01004747,Westminster 021E,331,245,720,643,475
E01004748,Westminster 020E,189,227,321,275,283
E01004749,Westminster 022B,344,194,672,627,507
E01004750,Westminster 023E,232,314,623,568,323
E01004751,Westminster 022C,219,208,503,285,218
E01004752,Westminster 022D,135,167,626,383,320
E01004753,Westminster 022E,165,178,657,386,237
E01004754,Westminster 010A,421,302,409,889,563
E01004755,Westminster 010B,479,119,606,1275,784
E01004756,Westminster 006E,321,80,559,709,443
E01004757,Westminster 010C,435,144,418,860,643
E01004760,Westminster 014E,308,160,493,680,384
E01004761,Westminster 018D,167,254,667,670,363
E01004762,Westminster 011E,239,323,674,722,456
E01004763,Westminster 013B,79,101,870,660,523
E01004765,Westminster 013D,208,190,742,667,461
E01032512,Westminster 010F,773,191,699,1590,998
E01032513,Westminster 010G,341,211,410,735,401
E01032582,Lambeth 036E,261,167,688,790,432
E01032583,Southwark 034D,195,105,468,533,516
E01032584,Southwark 034E,228,95,400,591,344
E01032637,Southwark 003F,56,19,341,293,233
E01032638,Southwark 003G,61,42,319,173,67
E01032639,Southwark 014F,184,87,501,652,490
E01032640,Southwark 003H,66,29,329,265,102
E01032646,Southwark 003I,159,51,479,479,207
E01032719,Southwark 014G,193,98,493,644,371
E01032720,Southwark 009F,338,83,515,1094,666
E01032722,Southwark 012F,348,208,659,927,604
E01032739,City of London 001F,68,38,516,232,101
E01032740,City of London 001G,29,79,516,186,136
E01032764,Tower Hamlets 004E,170,73,425,463,261
E01032765,Tower Hamlets 004F,282,68,377,622,421
E01032766,Tower Hamlets 021E,192,23,410,703,393
E01032767,Tower Hamlets 021F,82,24,556,543,289
E01032768,Tower Hamlets 025E,132,27,370,437,159
E01032769,Tower Hamlets 025F,187,41,300,578,242
E01032770,Tower Hamlets 032B,162,71,415,658,273
E01032771,Tower Hamlets 033B,204,22,380,639,286
E01032772,Tower Hamlets 032C,198,73,384,589,394
E01032773,Tower Hamlets 032D,276,11,606,887,366
E01032774,Tower Hamlets 032E,302,40,382,684,330
E01032775,Tower Hamlets 031F,122,24,298,456,165
E01032776,Tower Hamlets 028E,101,13,442,563,209
E01032777,Tower Hamlets 028F,208,18,319,684,264
E01032778,Tower Hamlets 028G,139,11,356,647,211
E01032779,Tower Hamlets 028H,195,10,354,551,184
E01032780,Tower Hamlets 028I,118,28,329,591,193
E01032781,Tower Hamlets 033C,172,42,455,624,242
E01032782,Tower Hamlets 033D,369,32,558,935,475
E01032783,Tower Hamlets 031G,179,81,373,660,323
E01032784,Tower Hamlets 004G,244,78,453,563,358
E01032785,Tower Hamlets 010E,227,36,420,543,242
E01032786,Tower Hamlets 010F,395,116,425,772,380
E01032787,Tower Hamlets 011F,746,148,520,1880,1071
E01032788,Hammersmith and Fulham 023D,222,60,253,339,216
E01032789,Hammersmith and Fulham 023E,218,32,350,508,223
E01032790,Hammersmith and Fulham 023F,263,97,264,470,270
E01032803,Southwark 003J,123,18,451,416,174
E01032805,Southwark 022F,669,181,568,1559,797
E01032834,Southwark 003K,55,43,301,216,59
E01033093,Wandsworth 010F,193,108,243,223,100
E01033098,Wandsworth 002F,80,37,416,336,250
E01033099,Wandsworth 004E,157,62,237,400,182
E01033100,Wandsworth 002G,155,137,424,494,222
E01033101,Wandsworth 004F,73,67,193,317,110
E01033132,Wandsworth 002H,139,37,449,436,243
E01033133,Wandsworth 004G,143,53,261,370,130
E01033135,Wandsworth 010G,170,69,176,111,65
E01033207,Lambeth 004F,289,211,512,650,407
E01033208,Lambeth 004G,244,23,706,732,383
E01033486,Islington 011E,204,59,273,395,302
E01033487,Islington 011F,176,14,432,485,205
E01033488,Islington 011G,208,103,419,487,337
E01033489,Islington 022G,83,39,516,511,803
E01033490,Islington 022H,180,103,536,684,749
E01033491,Islington 011H,216,107,665,548,365
E01033492,Islington 011I,137,39,462,413,184
E01033493,Islington 006F,77,24,422,227,131
E01033494,Islington 006G,228,128,317,339,198
E01033593,Westminster 015F,226,44,438,704,479
E01033594,Westminster 015G,154,165,490,592,449
E01033595,Westminster 013E,77,131,604,333,263
E01033596,Westminster 013F,158,155,615,372,212
E01033597,Westminster 023F,131,92,432,339,212
E01033598,Westminster 009F,335,158,339,782,562
E01033599,Westminster 023G,503,84,450,798,432
E01033600,Westminster 007F,153,117,347,285,182
E01033601,Westminster 009G,412,224,386,919,514
E01033602,Westminster 009H,466,160,490,956,708
E01033603,Westminster 009I,218,96,450,628,489
E01033604,Westminster 009J,223,75,503,733,484
E01033605,Westminster 009K,516,284,585,1171,793
E01033606,Westminster 014F,107,68,424,354,193
E01033607,Westminster 014G,164,136,367,297,144
E01033608,Westminster 007G,164,79,415,342,232
E01033698,Hackney 021F,247,192,435,686,370
E01033699,Hackney 021G,132,48,444,528,272
E01033700,Hackney 021H,190,83,544,612,331
E01033701,Hackney 002F,420,159,534,1117,791
E01033702,Hackney 028C,368,32,278,621,330
E01033703,Hackney 010F,265,118,464,673,411
E01033704,Hackney 023F,259,23,519,516,262
E01033705,Hackney 028D,438,52,357,924,410
E01033706,Hackney 027F,132,28,552,445,271
E01033707,Hackney 021I,166,81,430,600,380
E01033708,Hackney 027G,78,16,657,396,314
E01033709,Hackney 027H,270,76,629,741,392
E01033710,Hackney 028E,308,30,359,579,281
E01033711,Hackney 027I,91,37,388,401,335
E01033712,Hackney 023G,319,53,441,627,407
E01033713,Hackney 010G,274,68,429,636,396
